# Copyright (c) 1993-2009 Microsoft Corp.
#
# This is a sample HOSTS file used by Microsoft TCP/IP for Windows.
#
# This file contains the mappings of IP addresses to host names. Each
# entry should be kept on an individual line. The IP address should
# be placed in the first column followed by the corresponding host name.
# The IP address and the host name should be separated by at least one
# space.
#
# Additionally, comments (such as these) may be inserted on individual
# lines or following the machine name denoted by a '#' symbol.
#
# For example:
#
#      102.54.94.97     rhino.acme.com          # source server
#       38.25.63.10     x.acme.com              # x client host

# localhost name resolution is handled within DNS itself.
#	127.0.0.1       localhost
#	::1             localhost



#lista1

0.0.0.0 cds1257.lon.llnw.net
0.0.0.0 cds1265.lon.llnw.net
0.0.0.0 cds1269.lon.llnw.net
0.0.0.0 cds1273.lon.llnw.net
0.0.0.0 cds1285.lon.llnw.net
0.0.0.0 cds1287.lon.llnw.net
0.0.0.0 cds1289.lon.llnw.net
0.0.0.0 cds1293.lon.llnw.net
0.0.0.0 cds1307.lon.llnw.net
0.0.0.0 cds1310.lon.llnw.net
0.0.0.0 cds1325.lon.llnw.net
0.0.0.0 cds1327.lon.llnw.net
0.0.0.0 cds177.dus.llnw.net
0.0.0.0 cds20005.stn.llnw.net
0.0.0.0 cds20404.lcy.llnw.net
0.0.0.0 cds20411.lcy.llnw.net
0.0.0.0 cds20415.lcy.llnw.net
0.0.0.0 cds20416.lcy.llnw.net
0.0.0.0 cds20417.lcy.llnw.net
0.0.0.0 cds20424.lcy.llnw.net
0.0.0.0 cds20425.lcy.llnw.net
0.0.0.0 cds20431.lcy.llnw.net
0.0.0.0 cds20435.lcy.llnw.net
0.0.0.0 cds20440.lcy.llnw.net
0.0.0.0 cds20443.lcy.llnw.net
0.0.0.0 cds20445.lcy.llnw.net
0.0.0.0 cds20450.lcy.llnw.net
0.0.0.0 cds20452.lcy.llnw.net
0.0.0.0 cds20457.lcy.llnw.net
0.0.0.0 cds20461.lcy.llnw.net
0.0.0.0 cds20469.lcy.llnw.net
0.0.0.0 cds20475.lcy.llnw.net
0.0.0.0 cds20482.lcy.llnw.net
0.0.0.0 cds20485.lcy.llnw.net
0.0.0.0 cds20495.lcy.llnw.net
0.0.0.0 cds21205.lon.llnw.net
0.0.0.0 cds21207.lon.llnw.net
0.0.0.0 cds21225.lon.llnw.net
0.0.0.0 cds21229.lon.llnw.net
0.0.0.0 cds21233.lon.llnw.net
0.0.0.0 cds21238.lon.llnw.net
0.0.0.0 cds21244.lon.llnw.net
0.0.0.0 cds21249.lon.llnw.net
0.0.0.0 cds21256.lon.llnw.net
0.0.0.0 cds21257.lon.llnw.net
0.0.0.0 cds21258.lon.llnw.net
0.0.0.0 cds21261.lon.llnw.net
0.0.0.0 cds21267.lon.llnw.net
0.0.0.0 cds21278.lon.llnw.net
0.0.0.0 cds21281.lon.llnw.net
0.0.0.0 cds21293.lon.llnw.net
0.0.0.0 cds21309.lon.llnw.net
0.0.0.0 cds21313.lon.llnw.net
0.0.0.0 cds21321.lon.llnw.net
0.0.0.0 cds299.lcy.llnw.net
0.0.0.0 cds308.lcy.llnw.net
0.0.0.0 cds30027.stn.llnw.net
0.0.0.0 cds310.lcy.llnw.net
0.0.0.0 cds38.ory.llnw.net
0.0.0.0 cds54.ory.llnw.net
0.0.0.0 cds405.lcy.llnw.net
0.0.0.0 cds406.lcy.llnw.net
0.0.0.0 cds407.fra.llnw.net
0.0.0.0 cds416.lcy.llnw.net
0.0.0.0 cds421.lcy.llnw.net
0.0.0.0 cds422.lcy.llnw.net
0.0.0.0 cds425.lcy.llnw.net
0.0.0.0 cds426.lcy.llnw.net
0.0.0.0 cds447.lcy.llnw.net
0.0.0.0 cds458.lcy.llnw.net
0.0.0.0 cds459.lcy.llnw.net
0.0.0.0 cds461.lcy.llnw.net
0.0.0.0 cds468.lcy.llnw.net
0.0.0.0 cds469.lcy.llnw.net
0.0.0.0 cds471.lcy.llnw.net
0.0.0.0 cds483.lcy.llnw.net
0.0.0.0 cds484.lcy.llnw.net
0.0.0.0 cds489.lcy.llnw.net
0.0.0.0 cds493.lcy.llnw.net
0.0.0.0 cds494.lcy.llnw.net
0.0.0.0 cds812.lon.llnw.net
0.0.0.0 cds815.lon.llnw.net
0.0.0.0 cds818.lon.llnw.net
0.0.0.0 cds832.lon.llnw.net
0.0.0.0 cds836.lon.llnw.net
0.0.0.0 cds840.lon.llnw.net
0.0.0.0 cds843.lon.llnw.net
0.0.0.0 cds857.lon.llnw.net
0.0.0.0 cds868.lon.llnw.net
0.0.0.0 cds869.lon.llnw.net
0.0.0.0 ch1-cor001.api.p001.1drv.com
0.0.0.0 ch1-cor002.api.p001.1drv.com
0.0.0.0 ch3301-c.1drv.com
0.0.0.0 ch3301-e.1drv.com
0.0.0.0 ch3301-g.1drv.com
0.0.0.0 ch3302-c.1drv.com
0.0.0.0 ch3302-e.1drv.com
0.0.0.0 compatexchange1.trafficmanager.net
0.0.0.0 continuum.dds.microsoft.com
0.0.0.0 corp.sts.microsoft.com
0.0.0.0 corpext.msitadfs.glbdns2.microsoft.com
0.0.0.0 cs1.wpc.v0cdn.net
0.0.0.0 cy2.vortex.data.microsoft.com.akadns.net
0.0.0.0 db5.settings.data.microsoft.com.akadns.net
0.0.0.0 db5.settings-win.data.microsoft.com.akadns.net
0.0.0.0 db5.vortex.data.microsoft.com.akadns.net
0.0.0.0 db5-eap.settings-win.data.microsoft.com.akadns.net
0.0.0.0 df.telemetry.microsoft.com
0.0.0.0 diagnostics.support.microsoft.com
0.0.0.0 ec.atdmt.com
0.0.0.0 eu.vortex.data.microsoft.com
0.0.0.0 eu.vortex-win.data.microsoft.com
0.0.0.0 eu-v10.events.data.microsoft.com
0.0.0.0 eu-v20.events.data.microsoft.com
0.0.0.0 events.data.microsoft.com
0.0.0.0 flex.msn.com
0.0.0.0 g.msn.com
0.0.0.0 geo.settings.data.microsoft.com.akadns.net
0.0.0.0 geo.settings-win.data.microsoft.com.akadns.net
0.0.0.0 geo.vortex.data.microsoft.com.akadns.net
0.0.0.0 h1.msn.com
0.0.0.0 h2.msn.com
0.0.0.0 hk2.settings.data.microsoft.com.akadns.net
0.0.0.0 hk2.wns.windows.com
0.0.0.0 hk2sch130020721.wns.windows.com
0.0.0.0 hk2sch130020723.wns.windows.com
0.0.0.0 hk2sch130020726.wns.windows.com
0.0.0.0 hk2sch130020729.wns.windows.com
0.0.0.0 hk2sch130020732.wns.windows.com
0.0.0.0 hk2sch130020824.wns.windows.com
0.0.0.0 hk2sch130020843.wns.windows.com
0.0.0.0 hk2sch130020851.wns.windows.com
0.0.0.0 hk2sch130020854.wns.windows.com
0.0.0.0 hk2sch130020855.wns.windows.com
0.0.0.0 hk2sch130020924.wns.windows.com
0.0.0.0 hk2sch130020936.wns.windows.com
0.0.0.0 hk2sch130020940.wns.windows.com
0.0.0.0 hk2sch130020956.wns.windows.com
0.0.0.0 hk2sch130020958.wns.windows.com
0.0.0.0 hk2sch130020961.wns.windows.com
0.0.0.0 hk2sch130021017.wns.windows.com
0.0.0.0 hk2sch130021029.wns.windows.com
0.0.0.0 hk2sch130021035.wns.windows.com
0.0.0.0 hk2sch130021137.wns.windows.com
0.0.0.0 hk2sch130021142.wns.windows.com
0.0.0.0 hk2sch130021153.wns.windows.com
0.0.0.0 hk2sch130021217.wns.windows.com
0.0.0.0 hk2sch130021246.wns.windows.com
0.0.0.0 hk2sch130021249.wns.windows.com
0.0.0.0 hk2sch130021260.wns.windows.com
0.0.0.0 hk2sch130021264.wns.windows.com
0.0.0.0 hk2sch130021322.wns.windows.com
0.0.0.0 hk2sch130021323.wns.windows.com
0.0.0.0 hk2sch130021329.wns.windows.com
0.0.0.0 hk2sch130021334.wns.windows.com
0.0.0.0 hk2sch130021360.wns.windows.com
0.0.0.0 hk2sch130021432.wns.windows.com
0.0.0.0 hk2sch130021433.wns.windows.com
0.0.0.0 hk2sch130021435.wns.windows.com
0.0.0.0 hk2sch130021437.wns.windows.com
0.0.0.0 hk2sch130021440.wns.windows.com
0.0.0.0 hk2sch130021450.wns.windows.com
0.0.0.0 hk2sch130021518.wns.windows.com
0.0.0.0 hk2sch130021523.wns.windows.com
0.0.0.0 hk2sch130021526.wns.windows.com
0.0.0.0 hk2sch130021527.wns.windows.com
0.0.0.0 hk2sch130021544.wns.windows.com
0.0.0.0 hk2sch130021554.wns.windows.com
0.0.0.0 hk2sch130021618.wns.windows.com
0.0.0.0 hk2sch130021634.wns.windows.com
0.0.0.0 hk2sch130021638.wns.windows.com
0.0.0.0 hk2sch130021646.wns.windows.com
0.0.0.0 hk2sch130021652.wns.windows.com
0.0.0.0 hk2sch130021654.wns.windows.com
0.0.0.0 hk2sch130021657.wns.windows.com
0.0.0.0 hk2sch130021723.wns.windows.com
0.0.0.0 hk2sch130021726.wns.windows.com
0.0.0.0 hk2sch130021727.wns.windows.com
0.0.0.0 hk2sch130021730.wns.windows.com
0.0.0.0 hk2sch130021731.wns.windows.com
0.0.0.0 hk2sch130021754.wns.windows.com
0.0.0.0 hk2sch130021829.wns.windows.com
0.0.0.0 hk2sch130021830.wns.windows.com
0.0.0.0 hk2sch130021833.wns.windows.com
0.0.0.0 hk2sch130021840.wns.windows.com
0.0.0.0 hk2sch130021842.wns.windows.com
0.0.0.0 hk2sch130021851.wns.windows.com
0.0.0.0 hk2sch130021852.wns.windows.com
0.0.0.0 hk2sch130021927.wns.windows.com
0.0.0.0 hk2sch130021928.wns.windows.com
0.0.0.0 hk2sch130021929.wns.windows.com
0.0.0.0 hk2sch130021958.wns.windows.com
0.0.0.0 hk2sch130022035.wns.windows.com
0.0.0.0 hk2sch130022041.wns.windows.com
0.0.0.0 hk2sch130022049.wns.windows.com
0.0.0.0 hk2sch130022135.wns.windows.com
0.0.0.0 hk2wns1.wns.windows.com
0.0.0.0 hk2wns1b.wns.windows.com
0.0.0.0 i-bl6p-cor001.api.p001.1drv.com
0.0.0.0 i-bl6p-cor002.api.p001.1drv.com
0.0.0.0 i-bn3p-cor001.api.p001.1drv.com
0.0.0.0 i-by3p-cor001.api.p001.1drv.com
0.0.0.0 i-by3p-cor002.api.p001.1drv.com
0.0.0.0 i-ch1-cor001.api.p001.1drv.com
0.0.0.0 i-ch1-cor002.api.p001.1drv.com
0.0.0.0 i-sn2-cor001.api.p001.1drv.com
0.0.0.0 i-sn2-cor002.api.p001.1drv.com
0.0.0.0 i-sn3p-cor001.api.p001.1drv.com
0.0.0.0 ieonlinews.microsoft.com
0.0.0.0 ieonlinews.trafficmanager.net
0.0.0.0 lb1.www.ms.akadns.net
0.0.0.0 live.rads.msn.com
0.0.0.0 m.adnxs.com
0.0.0.0 mobile.events.data.microsoft.com
0.0.0.0 mobile.pipe.aria.microsoft.com
0.0.0.0 modern.watson.data.microsoft.com.akadns.net
0.0.0.0 msedge.net
0.0.0.0 msntest.serving-sys.com
0.0.0.0 nexus.officeapps.live.com
0.0.0.0 nexusrules.officeapps.live.com
0.0.0.0 oca.telemetry.microsoft.com
0.0.0.0 onecollector.cloudapp.aria.akadns.net
0.0.0.0 pre.footprintpredict.com
0.0.0.0 preview.msn.com
0.0.0.0 rad.live.com
0.0.0.0 rad.msn.com
0.0.0.0 redir.metaservices.microsoft.com
0.0.0.0 reports.wes.df.telemetry.microsoft.com
0.0.0.0 schemas.microsoft.akadns.net
0.0.0.0 secure.adnxs.com
0.0.0.0 secure.flashtalking.com
0.0.0.0 self.events.data.microsoft.com
0.0.0.0 services.wes.df.telemetry.microsoft.com
0.0.0.0 settings-sandbox.data.microsoft.com
0.0.0.0 settings-win-ppe.data.microsoft.com
0.0.0.0 settings.data.glbdns2.microsoft.com
0.0.0.0 sg2p.wns.windows.com
0.0.0.0 sn3301-c.1drv.com
0.0.0.0 sn3301-e.1drv.com
0.0.0.0 sn3301-g.1drv.com
0.0.0.0 spynet2.microsoft.com
0.0.0.0 spynetalt.microsoft.com
0.0.0.0 spyneteurope.microsoft.akadns.net
0.0.0.0 sqm.df.telemetry.microsoft.com
0.0.0.0 sqm.telemetry.microsoft.com
0.0.0.0 sqm.telemetry.microsoft.com.nsatc.net
0.0.0.0 ssw.live.com
0.0.0.0 survey.watson.microsoft.com
0.0.0.0 tele.trafficmanager.net
0.0.0.0 telecommand.telemetry.microsoft.com
0.0.0.0 telemetry.appex.bing.net
0.0.0.0 telemetry.microsoft.com
0.0.0.0 telemetry.remoteapp.windowsazure.com
0.0.0.0 telemetry.urs.microsoft.com
0.0.0.0 teredo.ipv6.microsoft.com
0.0.0.0 test.activity.windows.com
0.0.0.0 umwatsonc.events.data.microsoft.com
0.0.0.0 us-v10.events.data.microsoft.com
0.0.0.0 us-v20.events.data.microsoft.com
0.0.0.0 us.vortex-win.data.microsoft.com
0.0.0.0 v10.events.data.microsoft.com
0.0.0.0 v10c.events.data.microsoft.com
0.0.0.0 v20.events.data.microsoft.com
0.0.0.0 v10.vortex-win.data.microsoft.com
0.0.0.0 v10-win.vortex.data.microsoft.com.akadns.net
0.0.0.0 v20.vortex-win.data.microsoft.com
0.0.0.0 view.atdmt.com
0.0.0.0 vortex-sandbox.data.microsoft.com
0.0.0.0 vortex-win.data.microsoft.com
0.0.0.0 vortex-win-sandbox.data.microsoft.com
0.0.0.0 vortex.data.glbdns2.microsoft.com
0.0.0.0 vortex.data.microsoft.com
0.0.0.0 watson.live.com
0.0.0.0 watson.microsoft.com
0.0.0.0 watson.ppe.telemetry.microsoft.com
0.0.0.0 watson.telemetry.microsoft.com
0.0.0.0 web.vortex.data.microsoft.com
0.0.0.0 wes.df.telemetry.microsoft.com
0.0.0.0 win10.ipv6.microsoft.com
0.0.0.0 win1710.ipv6.microsoft.com
0.0.0.0 win8.ipv6.microsoft.com
0.0.0.0 www.msedge.net





 # lista2
0.0.0.0 a-0001.a-msedge.net
0.0.0.0 a-0001.dc-msedge.net
0.0.0.0 a-0002.a-msedge.net
0.0.0.0 a-0003.a-msedge.net
0.0.0.0 a-0003.dc-msedge.net
0.0.0.0 a-0004.a-msedge.net
0.0.0.0 a-0005.a-msedge.net
0.0.0.0 a-0006.a-msedge.net
0.0.0.0 a-0007.a-msedge.net
0.0.0.0 a-0008.a-msedge.net
0.0.0.0 a-0009.a-msedge.net
0.0.0.0 a-0010.a-msedge.net
0.0.0.0 a-0011.a-msedge.net
0.0.0.0 a-0012.a-msedge.net
0.0.0.0 a-msedge.net
0.0.0.0 am3pap002.storage.live.com
0.0.0.0 answers.microsoft.com
0.0.0.0 api.bing.com
0.0.0.0 api.onedrive.com
0.0.0.0 appex-rf.msn.com
0.0.0.0 arc.msn.com
0.0.0.0 arc.msn.com.nsatc.net
0.0.0.0 ars.smartscreen.microsoft.com
0.0.0.0 auth.gfx.ms
0.0.0.0 az361816.vo.msecnd.net
0.0.0.0 az512334.vo.msecnd.net
0.0.0.0 bingforbusiness.com
0.0.0.0 blob.weather.microsoft.com
0.0.0.0 c-0001.dc-msedge.net
0.0.0.0 c1.microsoft.com
0.0.0.0 candycrushsoda.king.com
0.0.0.0 cdn.content.prod.cms.msn.com
0.0.0.0 cdn.onenote.net
0.0.0.0 checkappexec.microsoft.com
0.0.0.0 choice.microsoft.com
0.0.0.0 choice.microsoft.com.nsatc.net
0.0.0.0 client-office365-tas.msedge.net
0.0.0.0 client-s.gateway.messenger.live.com
0.0.0.0 clientconfig.passport.net
0.0.0.0 co2.sls.microsoft.com
0.0.0.0 config.teams.microsoft.com
0.0.0.0 crl.microsoft.com
0.0.0.0 cy2.settings.data.microsoft.com.akadns.net
0.0.0.0 dev.virtualearth.net
0.0.0.0 device.auth.xboxlive.com
0.0.0.0 dmd.metaservices.microsoft.com
0.0.0.0 dmd.metaservices.microsoft.com.akadns.net
0.0.0.0 dns.msftncsi.com
0.0.0.0 ecn.dev.virtualearth.net
0.0.0.0 europe.smartscreen-prod.microsoft.com
0.0.0.0 evoke-windowsservices-tas.msedge.net
0.0.0.0 feedback.microsoft-hohm.com
0.0.0.0 feedback.search.microsoft.com
0.0.0.0 feedback.windows.com
0.0.0.0 finance.services.appex.bing.com
0.0.0.0 foodanddrink.tile.appex.bing.com
0.0.0.0 fr-fr.appex-rf.msn.com
0.0.0.0 fs.microsoft.com
0.0.0.0 g.bing.com
0.0.0.0 g.live.com
0.0.0.0 global.sam.msn.com
0.0.0.0 i1.services.social.microsoft.com
0.0.0.0 iecvlist.microsoft.com
0.0.0.0 img.stb.s-msn.com
0.0.0.0 img-prod-cms-rt-microsoft-com.akamaized.net
0.0.0.0 img-s-msn-com.akamaized.net
0.0.0.0 inference.location.live.net
0.0.0.0 licensing.mp.microsoft.com
0.0.0.0 location-inference-westus.cloudapp.net
0.0.0.0 login.msa.akadns6.net
0.0.0.0 logincdn.msauth.net
0.0.0.0 manage.devcenter.microsoft.com
0.0.0.0 mrodevicemgr.officeapps.live.com
0.0.0.0 maps.windows.com
0.0.0.0 mediaredirect.microsoft.com
0.0.0.0 msagfx.live.com
0.0.0.0 msftncsi.com
0.0.0.0 nav.smartscreen.microsoft.com
0.0.0.0 next-services.apps.microsoft.com
0.0.0.0 ocos-office365-s2s.msedge.net
0.0.0.0 officecdn.microsoft.com
0.0.0.0 officecdn.microsoft.com.edgesuite.net
0.0.0.0 officeclient.microsoft.com
0.0.0.0 oneclient.sfx.ms
0.0.0.0 optanon.blob.core.windows.net
0.0.0.0 otf.msn.com
0.0.0.0 outlook.office365.com
0.0.0.0 pti.store.microsoft.com
0.0.0.0 purchase.mp.microsoft.com
0.0.0.0 query.prod.cms.rt.microsoft.com
0.0.0.0 r20swj13mr.microsoft.com
0.0.0.0 register.cdpcs.microsoft.com
0.0.0.0 ris.api.iris.microsoft.com
0.0.0.0 s.gateway.messenger.live.com
0.0.0.0 s0.2mdn.net
0.0.0.0 search.msn.com
0.0.0.0 service.weather.microsoft.com
0.0.0.0 settings.data.microsoft.com
0.0.0.0 settings-ssl.xboxlive.com
0.0.0.0 settings-win.data.microsoft.com
0.0.0.0 sfdataservice.microsoft.com
0.0.0.0 share.microsoft.com
0.0.0.0 static.2mdn.net
0.0.0.0 storage.live.com
0.0.0.0 store-images.microsoft.com
0.0.0.0 store-images.s-microsoft.com
0.0.0.0 storecatalogrevocation.storequality.microsoft.com
0.0.0.0 storeedgefd.dsx.mp.microsoft.com
0.0.0.0 support.microsoft.com
0.0.0.0 t0.ssl.ak.dynamic.tiles.virtualearth.net
0.0.0.0 t0.ssl.ak.tiles.virtualearth.net
0.0.0.0 t.urs.microsoft.com
0.0.0.0 tile-service.weather.microsoft.com
0.0.0.0 tk2.plt.msn.com
0.0.0.0 uhf.microsoft.com
0.0.0.0 urs.microsoft.com
0.0.0.0 urs.smartscreen.microsoft.com
0.0.0.0 validation.sls.microsoft.com
0.0.0.0 validation-v2.sls.microsoft.com
0.0.0.0 version.hybrid.api.here.com
0.0.0.0 w.apprep.smartscreen.microsoft.com
0.0.0.0 wallet.microsoft.com
0.0.0.0 wdcp.microsoft.com
0.0.0.0 wdcpalt.microsoft.com
0.0.0.0 win10-trt.msedge.net
0.0.0.0 wscont.apps.microsoft.com
0.0.0.0 wscont.apps.microsoft.com.edgesuite.net
0.0.0.0 wscont2.apps.microsoft.com
0.0.0.0 wscont1.apps.microsoft.com
0.0.0.0 www.msftconnecttest.com
0.0.0.0 www.msftncsi.com
0.0.0.0 www.windowssearch.com
0.0.0.0 www.bing.com
0.0.0.0 telemetry-in.battle.net
0.0.0.0 www.telemetry-in.battle.net
0.0.0.0	googleads.g.doubleclick.net
0.0.0.0 www.googleadservices.com
0.0.0.0 checkappexec.microsoft.com
0.0.0.0 www.google-analytics.com
0.0.0.0 static.doubleclick.net
0.0.0.0 googleads.g.doubleclick.net
0.0.0.0 www.gstatic.com




#lista3

:: a.ads1.msn.com
:: a.ads2.msads.net
:: a.ads2.msn.com
:: a.rad.msn.com
:: ac3.msn.com
:: activity.windows.com
:: adnexus.net
:: adnxs.com
:: adl.windows.com
:: ads.msn.com
:: ads1.msads.net
:: ads1.msn.com
:: aidps.atdmt.com
:: aka-cdn-ns.adtech.de
:: alpha.telemetry.microsoft.com
:: apac1.notify.windows.com.akadns.net
:: api.cortana.ai
:: asimov-win.settings.data.microsoft.com.akadns.net
:: b.ads1.msn.com
:: b.ads2.msads.net
:: b.rad.msn.com
:: bingads.microsoft.com
:: bl3301-a.1drv.com
:: bl3301-c.1drv.com
:: bl3301-g.1drv.com
:: bn2b-cor001.api.p001.1drv.com
:: bn2b-cor002.api.p001.1drv.com
:: bn2b-cor003.api.p001.1drv.com
:: bn2b-cor004.api.p001.1drv.com
:: bn2wns1.wns.windows.com
:: bn3p-cor001.api.p001.1drv.com
:: bn3sch020010558.wns.windows.com
:: bn3sch020010560.wns.windows.com
:: bn3sch020010618.wns.windows.com
:: bn3sch020010629.wns.windows.com
:: bn3sch020010631.wns.windows.com
:: bn3sch020010635.wns.windows.com
:: bn3sch020010636.wns.windows.com
:: bn3sch020010650.wns.windows.com
:: bn3sch020011727.wns.windows.com
:: bn3sch020012850.wns.windows.com
:: bn3sch020020322.wns.windows.com
:: bn3sch020020749.wns.windows.com
:: bn3sch020022328.wns.windows.com
:: bn3sch020022335.wns.windows.com
:: bn3sch020022361.wns.windows.com
:: bn4sch101120814.wns.windows.com
:: bn4sch101120818.wns.windows.com
:: bn4sch101120911.wns.windows.com
:: bn4sch101120913.wns.windows.com
:: bn4sch101121019.wns.windows.com
:: bn4sch101121109.wns.windows.com
:: bn4sch101121118.wns.windows.com
:: bn4sch101121223.wns.windows.com
:: bn4sch101121407.wns.windows.com
:: bn4sch101121618.wns.windows.com
:: bn4sch101121704.wns.windows.com
:: bn4sch101121709.wns.windows.com
:: bn4sch101121714.wns.windows.com
:: bn4sch101121908.wns.windows.com
:: bn4sch101122117.wns.windows.com
:: bn4sch101122310.wns.windows.com
:: bn4sch101122312.wns.windows.com
:: bn4sch101122421.wns.windows.com
:: bn4sch101123108.wns.windows.com
:: bn4sch101123110.wns.windows.com
:: bn4sch101123202.wns.windows.com
:: bn4sch102110124.wns.windows.com
:: browser.events.data.microsoft.com
:: browser.pipe.aria.microsoft.com
:: bs.serving-sys.com
:: by3301-a.1drv.com
:: by3301-c.1drv.com
:: by3301-e.1drv.com
:: c.atdmt.com
:: c.msn.com
:: cache.datamart.windows.com
:: cdn.atdmt.com
:: cds10.stn.llnw.net
:: cds1203.lon.llnw.net
:: cds1204.lon.llnw.net
:: cds1209.lon.llnw.net
:: cds1219.lon.llnw.net
:: cds1228.lon.llnw.net
:: cds1244.lon.llnw.net
:: cds1257.lon.llnw.net
:: cds1265.lon.llnw.net
:: cds1269.lon.llnw.net
:: cds1273.lon.llnw.net
:: cds1285.lon.llnw.net
:: cds1287.lon.llnw.net
:: cds1289.lon.llnw.net
:: cds1293.lon.llnw.net
:: cds1307.lon.llnw.net
:: cds1310.lon.llnw.net
:: cds1325.lon.llnw.net
:: cds1327.lon.llnw.net
:: cds177.dus.llnw.net
:: cds20005.stn.llnw.net
:: cds20404.lcy.llnw.net
:: cds20411.lcy.llnw.net
:: cds20415.lcy.llnw.net
:: cds20416.lcy.llnw.net
:: cds20417.lcy.llnw.net
:: cds20424.lcy.llnw.net
:: cds20425.lcy.llnw.net
:: cds20431.lcy.llnw.net
:: cds20435.lcy.llnw.net
:: cds20440.lcy.llnw.net
:: cds20443.lcy.llnw.net
:: cds20445.lcy.llnw.net
